name,calorias,gorduras totais,gorduras saturadas,gorduras trans,colesterol,sódio,carboidratos,fibras,açúcares,proteínas,vitamina A,vitamina C,cálcio,ferro,categoria,rede
QUARTER POUNDER DELUXE,2.639999581341736,2.20053965007952,1.8602208434221637,6.184601529498671,1.972139388824131,2.7878128610387165,1.120315471333457,2.76352309662715,1.3135750496262724,2.6010689804055014,1.409682253934349,1.3031060466675317,2.466035097383933,4.437058016827604,SANDUICHE DE CARNE,red
DOUBLE QUARTER POUNDER WITH CHEESE,3.2777771963079667,2.911970553830347,2.485836002274646,9.641002549164453,2.8299094377865996,3.3837504813849555,1.1122944399112267,2.76352309662715,1.3484167218069691,3.650045208947037,1.409682253934349,1.075776511666883,2.7592421168607197,5.0099010196322045,SANDUICHE DE CARNE,red
HAMBURGER,1.7288887028185491,1.3557154518754135,1.2346056845696811,1.0,1.3431080195849874,1.8939064305193583,1.0855576685037918,1.58784103220905,1.2090500330841816,1.6625113022367592,1.0819364507868698,1.075776511666883,1.5864140389535732,2.718529008413802,SANDUICHE DE CARNE,red
DOUBLE CHEESEBURGER,2.305925592549901,1.9337530611729603,1.7820189485656033,1.3456401019665782,2.029324058754962,2.9367972661252764,1.0935786999260222,2.1756820644181,1.2438917052648786,2.3250226044735185,1.409682253934349,1.075776511666883,2.7592421168607197,3.2913720112184026,SANDUICHE DE CARNE,red
BACON CLUBHOUSE BURGER,3.186666108455648,2.778577259377067,2.1730284228484047,6.184601529498671,2.3152474084091184,3.7375884434655346,1.1363575341779182,3.3513641288361997,1.487783410529757,3.153161732269468,1.3277458031474791,1.9472063958360364,2.7592421168607197,3.8642150140230034,SANDUICHE DE CARNE,red
MCDOUBLE,2.1540737794627027,1.7558953352352535,1.6256151588524825,1.3456401019665782,1.8577700489624687,2.564336253408877,1.0909050227852788,2.1756820644181,1.2438917052648786,2.2146040541007253,1.2458093523606095,1.075776511666883,2.1728280779071465,3.2913720112184026,SANDUICHE DE CARNE,red
BACON MCDOUBLE,2.3362959551673406,1.9782174926573868,1.7820189485656033,1.3456401019665782,2.029324058754962,3.067158620576016,1.0935786999260222,2.1756820644181,1.2438917052648786,2.4906504300327086,1.2458093523606095,1.3788825583344146,2.1728280779071465,3.2913720112184026,SANDUICHE DE CARNE,red
DAILY DOUBLE,2.305925592549901,1.9782174926573868,1.703817053709043,1.3456401019665782,1.9149547188932998,2.4153518483223175,1.0909050227852788,2.1756820644181,1.2438917052648786,2.2146040541007253,1.3277458031474791,1.3031060466675317,2.1728280779071465,3.2913720112184026,SANDUICHE DE CARNE,red
JALAPEÃ±O DOUBLE,2.305925592549901,2.0226819241418132,1.703817053709043,1.3456401019665782,1.9149547188932998,2.9181742154894565,1.0935786999260222,2.1756820644181,1.2090500330841816,2.2146040541007253,1.2458093523606095,1.3031060466675317,2.1728280779071465,3.2913720112184026,SANDUICHE DE CARNE,red
MCRIB,2.5185181308719775,2.1560752185950935,1.7820189485656033,1.0,1.8005853790316373,2.8250589623103566,1.1176417941927137,2.76352309662715,1.3832583939876661,2.2146040541007253,1.0819364507868698,1.075776511666883,1.8796210584303599,3.2913720112184026,SANDUICHE DE CARNE,red
PREMIUM CRISPY CHICKEN CLASSIC SANDWICH,2.548888493489417,1.9782174926573868,3.7370663199796117,1.0,1.514662029377481,2.8436820129461764,1.147052242740892,2.76352309662715,1.3484167218069691,2.3250226044735185,1.1638729015737397,1.2273295350006488,1.8796210584303599,3.2913720112184026,SANDUICHE DE FRANGO/PEIXE,red
PREMIUM GRILLED CHICKEN CLASSIC SANDWICH,2.0629626916103843,1.40017988335984,1.1564037897131207,1.0,1.7434007091008061,2.5270901521372373,1.1122944399112267,2.76352309662715,1.2787333774455754,2.545859705219105,1.1638729015737397,1.3031060466675317,1.8796210584303599,3.2913720112184026,SANDUICHE DE FRANGO/PEIXE,red
PREMIUM CRISPY CHICKEN CLUB SANDWICH,3.03481429536845,2.46732623898608,1.703817053709043,1.0,1.972139388824131,3.625850139650615,1.1550732741631227,2.76352309662715,1.3832583939876661,2.987533906710278,1.3277458031474791,1.757765116668829,2.7592421168607197,3.2913720112184026,SANDUICHE DE FRANGO/PEIXE,red
PREMIUM GRILLED CHICKEN CLUB SANDWICH,2.548888493489417,1.8892886296885334,1.5474132639959224,1.0,2.200878068547456,3.3278813294774956,1.1176417941927137,2.76352309662715,1.3135750496262724,3.2083710074558645,1.3277458031474791,1.757765116668829,2.7592421168607197,3.2913720112184026,SANDUICHE DE FRANGO/PEIXE,red
PREMIUM CRISPY CHICKEN RANCH BLT SANDWICH,2.8525921196638127,2.245004081563947,1.469211369139362,1.0,1.8005853790316373,3.607227089014795,1.152399597022379,2.76352309662715,1.3832583939876661,2.7666968059646915,1.1638729015737397,1.757765116668829,1.8796210584303599,3.2913720112184026,SANDUICHE DE FRANGO/PEIXE,red
