name,calorias,gorduras totais,gorduras saturadas,gorduras trans,colesterol,sódio,carboidratos,fibras,açúcares,proteínas,vitamina A,vitamina C,cálcio,ferro,sal,cafeína,categoria,rede
BLT SANDWICH,2.632139679284506,1.9070064685628574,1.5993151065092701,0.0,0.0,1.1162839539080562,1.023809194505541,1.9289536412928787,2.0386544743598645,0.0,0.0,0.0,0.0,0.0,4.0797317055963935,0.0,OUTROS SANDUICHES,#24704D
ROAST CHICKEN SALAD SANDWICH,2.824591523553881,1.6235669471369643,1.3995434043395134,0.0,0.0,1.118758080586951,1.0277773935897978,1.9289536412928787,2.080200653334259,0.0,0.0,0.0,0.0,0.0,2.026577235198798,0.0,OUTROS SANDUICHES,#24704D
KING PRAWN SANDWICH,2.2620399787664773,1.39681532999625,1.0998858510848784,0.0,0.0,1.1138098272291614,1.0158727963370273,1.5573721847757274,1.8309235794878918,0.0,0.0,0.0,0.0,0.0,3.0531544703975957,0.0,OUTROS SANDUICHES,#24704D
HOT SMOKED SALMON SANDWICH,2.42488384699441,1.9070064685628574,1.1997717021697567,0.0,0.0,1.0989650671557927,1.0198409954212841,1.5573721847757274,1.7478312215391025,0.0,0.0,0.0,0.0,0.0,3.0531544703975957,0.0,OUTROS SANDUICHES,#24704D
SMOKED CHICKEN AND SUNSHINE GRAIN WRAP,2.310152939833821,1.4535032342814287,1.299657553254635,0.0,0.0,1.1212322072658458,1.0317455926740546,2.8579072825857574,1.7478312215391025,0.0,0.0,0.0,0.0,0.0,2.026577235198798,0.0,OUTROS SANDUICHES,#24704D
VEGAN BEETROOT WRAP,2.3619668979063455,1.6235669471369643,1.3995434043395134,0.0,0.0,1.1385510940181096,1.0158727963370273,2.4863258260686063,1.3739156107695512,0.0,0.0,0.0,0.0,0.0,2.026577235198798,0.0,OUTROS SANDUICHES,#24704D
SCRAMBLED EGGS HOT BOX,1.969661215357235,1.9636943728480358,1.3995434043395134,0.0,0.0,1.0148447600733688,1.0198409954212841,1.9289536412928787,1.7478312215391025,0.0,0.0,0.0,0.0,0.0,2.026577235198798,0.0,OUTROS SANDUICHES,#24704D
PULLED BEEF OPEN BURRITO,2.695056628372571,1.7936306599925,1.3995434043395134,0.0,0.0,1.1509217274125836,1.0396819908425683,3.2294887391029095,1.706285042564708,0.0,0.0,0.0,0.0,0.0,3.0531544703975957,0.0,OUTROS SANDUICHES,#24704D
VEGAN SMOKY JACKFRUIT AND GRAINS,2.757973577460636,1.9636943728480358,1.3995434043395134,0.0,0.0,1.1509217274125836,1.0555547871795956,3.0436980108443334,1.4985541476927349,0.0,0.0,0.0,0.0,0.0,2.026577235198798,0.0,OUTROS SANDUICHES,#24704D
CHICKEN & AVOCADO PROTEIN BOWL,2.0140731794193982,1.5101911385666074,1.299657553254635,0.0,0.0,1.0494825335778963,1.0317455926740546,1.9289536412928787,1.99710829538547,0.0,0.0,0.0,0.0,0.0,2.026577235198798,0.0,SALADA,#24704D
VEGAN SPICED PROTEIN BOWL,1.932651245305432,1.5101911385666074,1.0998858510848784,0.0,0.0,1.0618531669723703,1.047618389011082,2.3005350978100303,1.4985541476927349,0.0,0.0,0.0,0.0,0.0,2.026577235198798,0.0,SALADA,#24704D
